Date,Close
2020/1/6,23204.86
2020/1/7,23575.72
2020/1/8,23204.76
2020/1/9,23739.87
2020/1/10,23850.57
2020/1/14,24025.17
2020/1/15,23916.58
2020/1/16,23933.13
2020/1/17,24041.26
2020/1/20,24083.51
2020/1/21,23864.56
2020/1/22,24031.35
2020/1/23,23795.44
2020/1/24,23827.18
2020/1/27,23343.51
2020/1/28,23215.71
2020/1/29,23379.4
2020/1/30,22977.75
2020/1/31,23205.18
2020/2/3,22971.94
2020/2/4,23084.59
2020/2/5,23319.56
2020/2/6,23873.59
2020/2/7,23827.98
2020/2/10,23685.98
2020/2/12,23861.21
2020/2/13,23827.73
2020/2/14,23687.59
2020/2/17,23523.24
2020/2/18,23193.8
2020/2/19,23400.7
2020/2/20,23479.15
2020/2/21,23386.74
2020/2/25,22605.41
2020/2/26,22426.19
2020/2/27,21948.23
2020/2/28,21142.96
2020/3/2,21344.08
2020/3/3,21082.73
2020/3/4,21100.06
2020/3/5,21329.12
2020/3/6,20749.75
2020/3/9,19698.76
2020/3/10,19867.12
2020/3/11,19416.06
2020/3/12,18559.63
2020/3/13,17431.05
2020/3/16,17002.04
2020/3/17,17011.53
2020/3/18,16726.55
2020/3/19,16552.83
2020/3/23,16887.78
2020/3/24,18092.35
2020/3/25,19546.63
2020/3/26,18664.6
2020/3/27,19389.43
2020/3/30,19084.97
2020/3/31,18917.01
2020/4/1,18065.41
2020/4/2,17818.72
2020/4/3,17820.19
2020/4/6,18576.3
2020/4/7,18950.18
2020/4/8,19353.24
2020/4/9,19345.77
2020/4/10,19498.5
2020/4/13,19043.4
2020/4/14,19638.81
2020/4/15,19550.09
2020/4/16,19290.2
2020/4/17,19897.26
2020/4/20,19669.12
2020/4/21,19280.78
2020/4/22,19137.95
2020/4/23,19429.44
2020/4/24,19262
2020/4/27,19783.22
2020/4/28,19771.19
2020/4/30,20193.69
2020/5/1,19619.35
2020/5/7,19674.77
2020/5/8,20179.09
2020/5/11,20390.66
2020/5/12,20366.48
2020/5/13,20267.05
2020/5/14,19914.78
2020/5/15,20037.47
2020/5/18,20133.73
2020/5/19,20433.45
2020/5/20,20595.15
2020/5/21,20552.31
2020/5/22,20388.16
2020/5/25,20741.65
2020/5/26,21271.17
2020/5/27,21419.23
2020/5/28,21916.31
2020/5/29,21877.89
2020/6/1,22062.39
2020/6/2,22325.61
2020/6/3,22613.76
2020/6/4,22695.74
2020/6/5,22863.73
2020/6/8,23178.1
2020/6/9,23091.03
2020/6/10,23124.95
2020/6/11,22472.91
2020/6/12,22305.48
2020/6/15,21530.95
2020/6/16,22582.21
2020/6/17,22455.76
2020/6/18,22355.46
2020/6/19,22478.79
2020/6/22,22437.27
2020/6/23,22549.05
2020/6/24,22534.32
2020/6/25,22259.79
2020/6/26,22512.08
2020/6/29,21995.04
2020/6/30,22288.14
2020/7/1,22121.73
2020/7/2,22145.96
2020/7/3,22306.48
2020/7/6,22714.44
2020/7/7,22614.69
2020/7/8,22438.65
2020/7/9,22529.29
2020/7/10,22290.81
2020/7/13,22784.74
2020/7/14,22587.01
2020/7/15,22945.5
2020/7/16,22770.36
2020/7/17,22696.42
2020/7/20,22717.48
2020/7/21,22884.22
2020/7/22,22751.61
2020/7/27,22715.85
2020/7/28,22657.38
2020/7/29,22397.11
2020/7/30,22339.23
2020/7/31,21710
2020/8/3,22195.38
2020/8/4,22573.66
2020/8/5,22514.85
2020/8/6,22418.15
2020/8/7,22329.94
2020/8/11,22750.24
2020/8/12,22843.96
2020/8/13,23249.61
2020/8/14,23289.36
2020/8/17,23096.75
2020/8/18,23051.08
2020/8/19,23110.61
2020/8/20,22880.62
2020/8/21,22920.3
2020/8/24,22985.51
2020/8/25,23296.77
2020/8/26,23290.86
2020/8/27,23208.86
2020/8/28,22882.65
2020/8/31,23139.76
2020/9/1,23138.07
2020/9/2,23247.15
2020/9/3,23465.53
2020/9/4,23205.43
2020/9/7,23089.95
2020/9/8,23274.13
2020/9/9,23032.54
2020/9/10,23235.47
2020/9/11,23406.49
2020/9/14,23559.3
2020/9/15,23454.89
2020/9/16,23475.53
2020/9/17,23319.37
2020/9/18,23360.3
2020/9/23,23346.49
2020/9/24,23087.82
2020/9/25,23204.62
